"User" "Activity" "Average_Body_Acceleration_Magnitude" "Std_Dev_Body_Acceleration_Magnitude" "Average_Body_Gyroscopic_Magnitude" "Std_Dev_Body_Gyroscopic_Magnitude"
1 "LAYING" -0.8419291525 -0.79514486386 -0.874759548 -0.81901016976
1 "SITTING" -0.948536786170213 -0.927078418723404 -0.93089249 -0.934531840425532
1 "STANDING" -0.984278207358491 -0.981942928867925 -0.976493792830189 -0.978690028679245
1 "WALKING" -0.136971176556842 -0.219688645631579 -0.160979552536842 -0.186978364526316
1 "WALKING_DOWNSTAIRS" 0.0271882914106122 0.0198843506265306 -0.0757412543673469 -0.225724368061224
1 "WALKING_UPSTAIRS" -0.129927630735849 -0.324970929245283 -0.126735589969811 -0.14861931805283
2 "LAYING" -0.977435485208333 -0.972873912916667 -0.950011569583333 -0.961164053958333
2 "SITTING" -0.967893623913043 -0.953081444130435 -0.946035087173913 -0.961313624130435
2 "STANDING" -0.965875181296296 -0.957874965 -0.963466341851852 -0.95394338037037
2 "WALKING" -0.290407593728814 -0.422544169322034 -0.446549092881356 -0.553019916271186
2 "WALKING_DOWNSTAIRS" 0.0899511204978723 0.215586334889362 -0.162188586930426 -0.274844110531915
2 "WALKING_UPSTAIRS" -0.107322679520833 -0.205977045295833 -0.219713472958333 -0.377532167604167
3 "LAYING" -0.972791346129032 -0.964218176451613 -0.951564751451613 -0.954275110967742
3 "SITTING" -0.895383350192308 -0.8703017 -0.919354372307692 -0.925518103807692
3 "STANDING" -0.925430819016393 -0.915143303606557 -0.892089349344262 -0.88212522147541
3 "WALKING" -0.254690333275862 -0.328428936551724 -0.466411754137931 -0.561510683275862
3 "WALKING_DOWNSTAIRS" -0.0628126118283674 -0.0411340078469388 -0.215294501244898 -0.245794699346939
3 "WALKING_UPSTAIRS" -0.184014895 -0.333597432542373 -0.347321812220339 -0.408886653186441
4 "LAYING" -0.954557603148148 -0.931292216611111 -0.930236462592593 -0.947031781666667
4 "SITTING" -0.93569482 -0.9144078448 -0.9260633138 -0.928898293
4 "STANDING" -0.906478051785714 -0.890976683392857 -0.900982100535714 -0.885144317678571
4 "WALKING" -0.312050574166667 -0.527679103166667 -0.49779220106 -0.553116111166667
4 "WALKING_DOWNSTAIRS" -0.0491616726733333 -0.0819559041111111 -0.3466062928 -0.3805726254
4 "WALKING_UPSTAIRS" -0.153703935357692 -0.212012300480769 -0.299779407884615 -0.510974134423077
5 "LAYING" -0.966777882884615 -0.958612786346154 -0.946938300576923 -0.958287921923077
5 "SITTING" -0.9379783225 -0.920939027727273 -0.934301646590909 -0.931414810454545
5 "STANDING" -0.906104701071429 -0.87977380125 -0.900671630714286 -0.867041711785714
5 "WALKING" -0.158338674394643 -0.377178733392857 -0.355933083571429 -0.492176823571429
5 "WALKING_DOWNSTAIRS" 0.211138853638298 0.205422375957447 -0.218029835319149 -0.360678305253192
5 "WALKING_UPSTAIRS" 0.0435562021989362 -0.136736383765957 -0.235516929306383 -0.354687870212766
6 "LAYING" -0.918878850824561 -0.897326245964912 -0.908980174736842 -0.920914497017544
6 "SITTING" -0.949543531272727 -0.931572655636364 -0.932703812181818 -0.921259472727273
6 "STANDING" -0.945022876491228 -0.939310249649123 -0.939404744385965 -0.915891572982456
6 "WALKING" -0.166840713631579 -0.266734167368421 -0.281207841122807 -0.36560291677193
6 "WALKING_DOWNSTAIRS" 0.333754731458333 0.373611914166667 0.0142677821595833 -0.0426276750979167
6 "WALKING_UPSTAIRS" 0.0177790974433333 -0.0791508842176471 -0.12912124415098 -0.199893710196078
7 "LAYING" -0.936392023846154 -0.907039513153846 -0.915793634807692 -0.918662459038462
7 "SITTING" -0.918432107083333 -0.881957619770833 -0.897870535 -0.898063314375
7 "STANDING" -0.942724659245283 -0.933590156792453 -0.943425564528302 -0.918438958867924
7 "WALKING" -0.0978090439438596 -0.198554708385965 -0.305959351403509 -0.19828316695614
7 "WALKING_DOWNSTAIRS" 0.0198795285851064 0.214544028088723 -0.18874081887234 -0.259751603446809
7 "WALKING_UPSTAIRS" -0.198074437978431 -0.33474460745098 -0.239099165627451 -0.418144852156863
8 "LAYING" -0.935308633888889 -0.91325033 -0.924253348518518 -0.932470764444444
8 "SITTING" -0.952139704347826 -0.929943615630435 -0.93268224326087 -0.953001632173913
8 "STANDING" -0.953762884074074 -0.937187185222222 -0.952848496851852 -0.95322478962963
8 "WALKING" 0.0516786278104167 -0.1804072826 -0.00310243820125 -0.238746703958333
8 "WALKING_DOWNSTAIRS" 0.176599311818421 0.131337867236842 0.0993429744078947 -0.0466291872078947
8 "WALKING_UPSTAIRS" 0.121026629195122 -0.227200254219512 0.166447991 -0.109327923829268
9 "LAYING" -0.9308684376 -0.91512680016 -0.9071250998 -0.8985578738
9 "SITTING" -0.8933617176 -0.8637564342 -0.9032355368 -0.9066063206
9 "STANDING" -0.945167482444444 -0.936105010444444 -0.921030223111111 -0.908291403111111
9 "WALKING" -0.0980840496143461 -0.37942877 -0.294542266826923 -0.489725811538462
9 "WALKING_DOWNSTAIRS" 0.145886357935714 0.265120131365238 -0.168921400633333 -0.322331464761905
9 "WALKING_UPSTAIRS" -0.260727581428571 -0.400222037142857 -0.0833234490061224 -0.425839761428571
10 "LAYING" -0.956781819655172 -0.940301654482759 -0.937590998793103 -0.927471165517241
10 "SITTING" -0.96075719962963 -0.939669591481481 -0.944202043703704 -0.963064577592593
10 "STANDING" -0.951988907954545 -0.937264537954545 -0.929787259772727 -0.920486810227273
10 "WALKING" -0.127400912069811 -0.185602396067925 -0.156458730358491 -0.402025135660377
10 "WALKING_DOWNSTAIRS" 0.250843769394737 0.156998205421053 -0.0238468037578947 -0.280382850552632
10 "WALKING_UPSTAIRS" -0.0266623294757447 -0.211537480214383 0.0438573846851064 -0.113062673542979
11 "LAYING" -0.980621180175439 -0.972891829473684 -0.952523752105263 -0.954713182807018
11 "SITTING" -0.961970763773585 -0.944581826415094 -0.951884472075472 -0.959964488301887
11 "STANDING" -0.984853836595745 -0.98030536893617 -0.979978011489362 -0.977071437446808
11 "WALKING" -0.288323472033898 -0.487735915084746 -0.421801673559322 -0.558362783220339
11 "WALKING_DOWNSTAIRS" 0.126227657258696 0.0507743652521739 -0.19788336026087 -0.339349828493478
11 "WALKING_UPSTAIRS" -0.132594623759259 -0.289592148148148 -0.255048336944444 -0.377909862407407
12 "LAYING" -0.9482046755 -0.936542686833333 -0.9308405935 -0.935725715833333
12 "SITTING" -0.952176621372549 -0.947517100196078 -0.941907240784314 -0.946769241568627
12 "STANDING" -0.941459935081967 -0.935232945245902 -0.888101372786885 -0.852271618032787
12 "WALKING" -0.102204550448 -0.23697286882 -0.35593036512 -0.4132083408
12 "WALKING_DOWNSTAIRS" 0.0183139429630435 0.0972608274652174 -0.213351510686957 -0.32045862629
12 "WALKING_UPSTAIRS" -0.229183927115385 -0.285844036153846 -0.316561585961538 -0.525686949063462
13 "LAYING" -0.960517768225806 -0.947944746612903 -0.944303111935484 -0.944687480967742
13 "SITTING" -0.957690563673469 -0.937935738571429 -0.951142644081633 -0.963940591428571
13 "STANDING" -0.971564243157895 -0.968519673859649 -0.95782537245614 -0.944980198421053
13 "WALKING" -0.135643867842105 -0.292546377017544 -0.218669558421053 -0.253240071964912
13 "WALKING_DOWNSTAIRS" -0.0294634299553191 -0.0156098198829787 -0.102114480531915 -0.236762631468085
13 "WALKING_UPSTAIRS" -0.10115350174 -0.326339622181818 -0.237182958116364 -0.415658606181818
14 "LAYING" -0.905978250196078 -0.856593119215686 -0.904665418431373 -0.913433185882353
14 "SITTING" -0.944197943703704 -0.92549582962963 -0.942756369259259 -0.947081158333333
14 "STANDING" -0.943456847333333 -0.936735577166667 -0.943530016833333 -0.931426203833333
14 "WALKING" -0.144404671779661 -0.36380562779661 -0.137208741864407 -0.201401930542373
14 "WALKING_DOWNSTAIRS" 0.185537706866667 0.428405922622222 0.166340011842444 -0.0665144570666667
14 "WALKING_UPSTAIRS" 0.140108204051852 -0.0197686685018519 0.365779419444444 0.299975979851852
15 "LAYING" -0.955340661527778 -0.943314107916667 -0.944605127222222 -0.924043007638889
15 "SITTING" -0.958669836271186 -0.93797790559322 -0.957331628305085 -0.963475074915254
15 "STANDING" -0.961207616226415 -0.948600432641509 -0.946961381132076 -0.931286778679245
15 "WALKING" -0.186514650759259 -0.323878324074074 -0.243711124444444 -0.425798469148148
